car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
maruti swift dzire,2013,diesel,49409,371699,new delhi,1651,sedan,manual,vdi bs iv,True,delhi,delhi,True,dl8c,inperson_sale,maruti,swift dzire,in_stock,1,369234,375734.0,great,2021-04-05T06:01:12.196,True,8634,55755,True,False
toyota innova,2013,diesel,280817,726699,ahmedabad,1739,suv,manual,2.5 vx 8 str bs iv,True,surat,gujarat,True,gj05,inperson_sale,toyota,innova,in_stock,2,743362,894503.0,great,2021-03-26T07:16:25.509,True,16879,109005,False,False
maruti celerio,2018,petrol & cng,15341,462499,new delhi,2369,hatchback,manual,zxi opt,True,faridabad,haryana,True,hr51,inperson_sale,maruti,celerio,pickup_pending,1,426340,,great,2021-04-19T12:50:08.769,True,10743,69375,True,False
renault duster,2014,diesel,83433,411699,gurgaon,1015,suv,manual,85 ps rxl opt,True,gurgaon,haryana,True,hr26,inperson_sale,renault,duster,in_stock,1,378000,,great,2021-03-25T10:07:01.965,True,9563,61755,True,False
toyota etios,2012,diesel,80949,275599,new delhi,1823,sedan,manual,gd,True,delhi,delhi,True,dl9c,inperson_sale,toyota,etios,in_stock,1,252517,328407.0,great,2020-10-27T02:12:03.636,True,6401,41340,False,False
maruti swift dzire,2012,diesel,102656,421599,mumbai,492,sedan,manual,zdi,True,mumbai,maharashtra,True,mh43,inperson_sale,maruti,swift dzire,in_stock,2,421850,423350.0,great,2021-03-20T07:03:12.017,True,9793,63240,False,False
renault kwid,2016,petrol,47683,302499,hyderabad,2020,hatchback,manual,rxt opt,True,hyderabad,telangana,True,ts08,inperson_sale,renault,kwid,in_stock,1,256226,313099.0,great,2021-04-17T10:08:23.109,True,7026,45375,False,False
chevrolet beat,2012,petrol,49052,171699,pune,1419,hatchback,manual,lt petrol,True,thane,maharashtra,True,mh04,inperson_sale,chevrolet,beat,in_stock,1,151460,,good,2021-04-09T05:47:53.278,True,3988,25755,True,False
maruti ignis,2017,petrol,24945,554899,bengaluru,1220,hatchback,,alpha 1.2 k12 dual tone,True,bengaluru,karnataka,True,ka05,inperson_sale,maruti,ignis,in_stock,1,565563,567063.0,great,2021-03-10T06:33:52.72,True,12889,83235,False,False
maruti wagon r 1.0,2012,petrol & cng,101287,271899,mumbai,1064,hatchback,manual,lxi cng,True,thane,maharashtra,True,mh04,inperson_sale,maruti,wagon r 1.0,in_stock,1,237720,,great,2021-03-25T06:00:29.334,True,6316,40785,False,False
maruti ritz,2009,petrol,119824,203599,new delhi,451,hatchback,manual,vxi,True,delhi,delhi,True,dl6c,inperson_sale,maruti,ritz,in_stock,1,166560,,good,2021-02-22T14:32:41.149,True,4729,30540,False,False
maruti swift,2013,diesel,74429,314499,noida,1418,hatchback,manual,vdi,True,noida,uttar pradesh,True,up14,inperson_sale,maruti,swift,in_stock,2,294044,365244.0,great,2021-02-03T08:57:29.594,True,7305,47175,False,False
hyundai i20,2011,petrol,38857,371199,bengaluru,2038,hatchback,manual,magna o 1.2,True,bangalore k r puram,karnataka,True,ka53,inperson_sale,hyundai,i20,in_stock,1,374778,371299.0,great,2021-02-04T13:05:56.137,True,8622,55680,False,False
maruti swift,2013,diesel,107134,305299,ghaziabad,1090,hatchback,manual,vdi,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,maruti,swift,in_stock,1,304422,392730.0,great,2021-02-08T07:52:12.514,True,7091,45795,True,False
hyundai i20,2014,petrol,20646,517199,mumbai,613,hatchback,manual,asta 1.2,True,mumbai west,maharashtra,True,mh02,inperson_sale,hyundai,i20,in_stock,1,518670,,great,2021-03-08T09:20:03.723,True,12013,77580,False,False
maruti celerio,2014,petrol,27716,305599,gurgaon,2390,hatchback,automatic,vxi amt,True,faridabad,haryana,True,hr51,inperson_sale,maruti,celerio,in_stock,2,311825,317825.0,great,2021-03-01T05:12:55.557,True,7098,45840,True,False
maruti swift,2016,diesel,35253,436599,faridabad,2827,hatchback,manual,vdi abs,True,faridabad,haryana,True,hr51,inperson_sale,maruti,swift,in_stock,1,442707,536386.0,great,2021-04-03T06:27:49.543,True,10141,65490,True,False
hyundai i20,2012,petrol,66504,314999,pune,2453,hatchback,manual,asta 1.2,True,badlapur,maharashtra,True,mh02,inperson_sale,hyundai,i20,in_transit,2,304642,315099.0,great,2021-02-16T08:10:16.644,True,7317,47250,False,False
volkswagen polo,2013,petrol,49004,316199,gurgaon,1687,hatchback,manual,comfortline 1.2l petrol,True,delhi,delhi,True,dl14,inperson_sale,volkswagen,polo,in_stock,2,300288,,great,2021-03-24T10:25:01.821,True,7345,47430,False,False
maruti swift,2013,petrol,45056,373599,pune,4364,hatchback,manual,vxi,True,pune,maharashtra,True,mh12,inperson_sale,maruti,swift,in_stock,2,361535,,great,2021-03-26T12:36:52.858,True,8678,56040,False,False
hyundai grand i10,2014,petrol,35238,367099,new delhi,2329,hatchback,manual,sportz 1.2 kappa vtvt,True,gurgaon,haryana,True,hr26,inperson_sale,hyundai,grand i10,in_stock,1,363366,369366.0,great,2021-03-12T13:53:48.777,True,8527,55065,False,False
maruti swift,2015,diesel,81468,444599,ghaziabad,1313,hatchback,manual,vdi abs,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,swift,in_stock,1,430882,540742.0,great,2021-03-22T09:49:19.836,True,10327,66690,True,False
mahindra xuv 3oo,2019,petrol,6173,618299,new delhi,6918,suv,,w4 petrol,True,gurgaon,haryana,True,hr26,inperson_sale,mahindra,xuv 3oo,in_stock,1,639034,772444.0,great,2021-03-31T12:30:16.125,True,14362,92745,True,False
toyota fortuner,2013,diesel,118203,1104635,new delhi,1216,luxury suv,automatic,3.0 at 4x2,True,new delhi,delhi,True,dl9c,inperson_sale,toyota,fortuner,in_stock,3,1076665,,great,2021-03-17T12:48:56.984,True,25658,165696,True,False
hyundai creta,2018,diesel,104750,1171699,mumbai,705,suv,,1.6 sx crdi,True,alibag,maharashtra,True,mh06,inperson_sale,hyundai,creta,,1,1125712,,great,2021-04-16T05:43:08.191,True,27216,175755,False,False
maruti alto k10,2016,petrol,28652,395599,bengaluru,483,hatchback,,vxi (o) amt,True,bengaluru,karnataka,True,ka41,inperson_sale,maruti,alto k10,in_stock,2,386415,,great,2021-04-10T06:23:13.227,True,9189,59340,False,False
maruti ritz,2010,petrol,137545,245599,bengaluru,995,hatchback,manual,vxi bs iv,False,bengaluru,karnataka,True,ka05,inperson_sale,maruti,ritz,in_stock,2,235700,248499.0,great,2021-01-28T11:11:53.575,True,5705,36840,False,False
hyundai verna,2018,petrol,31913,878099,bengaluru,785,sedan,manual,1.6 sx vtvt,True,bengaluru,karnataka,True,ka03,inperson_sale,hyundai,verna,in_stock,1,882634,884134.0,great,2021-03-20T11:02:24.419,True,20396,131715,False,False
toyota innova,2015,diesel,165870,949699,mumbai,1288,suv,manual,2.5 vx 8 str bs iv,True,mumbai west,maharashtra,True,mh02,inperson_sale,toyota,innova,in_stock,1,958746,960246.0,great,2021-03-13T11:39:19.211,True,22059,142455,False,False
maruti ciaz,2016,diesel,141441,553999,mumbai,918,sedan,manual,vdi+ shvs,True,mumbai,maharashtra,True,mh01,inperson_sale,maruti,ciaz,in_stock,1,513136,554099.0,great,2021-02-06T15:47:02.509,True,12868,83100,False,False
fiat grand punto,2014,diesel,46804,295099,chennai,3106,hatchback,manual,active 1.3,True,chennai,tamil nadu,True,tn11,inperson_sale,fiat,grand punto,in_stock,3,304000,367800.0,great,2020-09-22T08:24:08.793,True,6854,44265,False,True
hyundai verna,2013,petrol,49259,584799,bengaluru,873,sedan,manual,fluidic 1.6 sx vtvt,True,banglore-cafe dly,karnataka,True,ka04,inperson_sale,hyundai,verna,in_stock,1,572761,,great,2021-03-09T05:31:49.441,True,13583,87720,False,False
maruti sx4,2007,petrol & cng,100178,100000,pune,284,sedan,manual,zxi mt bs iv,False,pune,maharashtra,False,mh12,online,maruti,sx4,in_stock,4,59000,,overpriced,2020-06-01T13:09:56.476,False,2323,15000,False,False
toyota innova,2009,diesel,143765,705199,bengaluru,1247,suv,manual,2.5 v 7str,True,electronic city,karnataka,True,ka51,inperson_sale,toyota,innova,in_stock,2,719901,705299.0,great,2021-02-09T12:52:36.321,True,16380,105780,False,False
honda city,2015,diesel,110600,600000,pune,31,sedan,manual,v mt diesel,True,ahmednagar,maharashtra,False,mh16,online,honda,city,,1,447000,,great,2019-08-22T13:04:50.832,True,13937,90000,False,True
renault kwid,2016,petrol,62730,303099,pune,1023,hatchback,manual,1.0 rxt,True,pune,maharashtra,True,mh12,inperson_sale,renault,kwid,in_stock,1,277568,,great,2021-03-02T14:18:41.635,True,7040,45465,False,False
hyundai i20,2009,petrol,97272,193500,mumbai,26,hatchback,manual,asta 1.2 o with sunroof,False,thane,maharashtra,False,mh04,,hyundai,i20,,3,153000,,great,2019-03-27T09:37:38.725,True,4495,29025,False,False
maruti wagon r 1.0,2014,petrol,27274,416899,bengaluru,385,hatchback,manual,vxi,False,bangalore central,karnataka,True,ka01,inperson_sale,maruti,wagon r 1.0,in_stock,1,410892,,great,2021-04-02T10:44:03.2,True,9684,62535,False,False
honda brio,2015,petrol,52427,354199,new delhi,541,hatchback,manual,1.2 vx mt i vtec,True,gurgaon,haryana,True,hr26,inperson_sale,honda,brio,in_stock,1,347601,368199.0,great,2021-04-17T14:05:22.967,True,8227,53130,False,False
ford ecosport,2013,diesel,84769,467099,chennai,4294,suv,manual,1.5titanium tdci,True,chennai,tamil nadu,True,tn01,inperson_sale,ford,ecosport,in_stock,1,450500,530195.0,great,2021-03-02T07:24:50.951,True,10850,70065,False,False
hyundai elite i20,2018,diesel,43620,753399,bengaluru,992,hatchback,manual,asta 1.4 crdi,True,kolar,karnataka,True,ka07,inperson_sale,hyundai,elite i20,in_transit,1,737180,,great,2021-04-07T10:36:59.441,True,17500,113010,False,False
honda wr-v,2018,diesel,27374,819499,chennai,594,suv,manual,1.5 i-dtec vx mt,True,chennai,tamil nadu,True,tn10,inperson_sale,honda,wr-v,in_stock,2,839080,840580.0,great,2021-04-17T14:22:45.076,True,19035,122925,True,False
hyundai eon,2013,petrol,74079,180000,new delhi,175,hatchback,manual,era plus,True,delhi,delhi,False,dl8c,online,hyundai,eon,in_stock,2,106000,,fair,2020-08-20T12:09:12.745,True,4181,27000,False,True
maruti swift dzire,2012,diesel,133678,446799,mumbai,321,sedan,manual,vdi bs iv,True,navi mumbai,maharashtra,True,mh43,inperson_sale,maruti,swift dzire,in_stock,1,403000,,great,2021-03-26T14:24:03.019,True,10378,67020,False,False
maruti alto,2019,petrol & cng,20058,434399,mumbai,2012,hatchback,manual,lxi cng,True,thane,maharashtra,True,mh04,inperson_sale,maruti,alto,in_stock,1,457000,458500.0,great,2021-02-13T13:11:38.15,True,10090,65160,False,False
maruti vitara brezza,2018,diesel,74994,607799,ghaziabad,1045,suv,manual,ldi opt,True,meerut,uttar pradesh,True,up15,inperson_sale,maruti,vitara brezza,in_stock,1,583604,725104.0,great,2021-02-23T12:19:48.466,True,14118,91170,True,False
maruti sx4,2008,petrol,117930,163199,new delhi,2807,sedan,manual,vxi,True,gurgaon,haryana,True,hr26,inperson_sale,maruti,sx4,in_stock,1,147466,,good,2021-03-08T11:23:59.342,True,3791,24480,True,False
renault scala,2013,diesel,219642,264299,noida,1241,sedan,manual,rxz,True,faridabad,haryana,True,hr29,inperson_sale,renault,scala,in_stock,1,226320,284657.0,good,2021-03-04T00:07:12.473,True,6139,39645,False,False
maruti celerio,2014,petrol,104925,273099,lucknow,2150,hatchback,manual,lxi,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,celerio,in_stock,1,218000,282260.0,great,2021-03-18T05:10:51.656,True,6343,40965,False,False
ford figo,2010,diesel,82800,180000,pune,299,hatchback,manual,1.4 exi duratorq,True,baramati,maharashtra,False,mh01,online,ford,figo,,3,109000,,good,2019-09-10T08:21:46.245,True,4181,27000,False,False
honda brio,2012,petrol,52500,331799,chennai,1019,hatchback,manual,1.2 s (o) mt ivtec,True,chennai,tamil nadu,True,tn01,inperson_sale,honda,brio,in_stock,1,320745,387384.0,great,2021-03-13T07:17:00.427,True,7707,49770,False,False
maruti swift,2014,diesel,91630,409299,new delhi,574,hatchback,manual,zdi,True,delhi,delhi,True,dl1c,inperson_sale,maruti,swift,in_stock,1,389654,490706.0,great,2021-02-06T05:44:27.084,True,9507,61395,False,False
maruti celerio,2015,petrol,82249,301899,mumbai,554,hatchback,manual,vxi,False,kalyan,maharashtra,True,mh43,inperson_sale,maruti,celerio,in_stock,2,285547,,great,2021-03-28T08:20:41.562,True,7012,45285,False,False
maruti swift dzire,2012,diesel,119365,450000,bengaluru,132,sedan,manual,vdi bs iv,False,bengaluru,karnataka,False,ka02,online,maruti,swift dzire,,2,359000,,good,2019-09-09T10:50:23.085,True,10452,67500,False,False
hyundai i20,2012,petrol & cng,52981,329299,new delhi,1048,hatchback,manual,magna o 1.2,True,delhi,delhi,True,dl9c,inperson_sale,hyundai,i20,in_stock,2,303087,390087.0,great,2021-03-16T09:51:55.865,True,7649,49395,True,False
volkswagen polo,2014,petrol,67087,468899,pune,756,hatchback,manual,highline1.2l petrol,False,pune,maharashtra,True,mh12,inperson_sale,volkswagen,polo,in_stock,1,469982,,great,2021-03-26T08:47:17.516,True,10891,70335,False,False
volkswagen polo,2017,petrol,44883,516199,chennai,981,hatchback,manual,comfortline 1.2l petrol,True,chennai,tamil nadu,True,tn04,inperson_sale,volkswagen,polo,in_stock,2,455000,535370.0,great,2021-03-14T06:48:50.712,True,11990,77430,False,False
hyundai i10,2010,petrol,62675,130000,ghaziabad,36,hatchback,manual,era 1.1 irde,True,delhi,delhi,False,dl8c,online,hyundai,i10,,2,90000,,great,2019-08-22T05:30:49.995,True,3020,19500,False,True
hyundai i10,2007,petrol,40214,179899,pune,6779,hatchback,manual,magna,True,pune,maharashtra,True,mh12,inperson_sale,hyundai,i10,in_stock,3,156746,,good,2021-03-12T05:43:05.599,True,4179,26985,False,False
maruti wagon r 1.0,2017,petrol,12889,432099,pune,3185,hatchback,manual,vxi plus,True,pune,maharashtra,True,mh12,inperson_sale,maruti,wagon r 1.0,in_stock,1,435000,436500.0,great,2021-03-30T08:50:28.914,True,10037,64815,False,False
maruti swift,2016,diesel,97092,571899,bengaluru,938,hatchback,manual,zdi,True,bengaluru,karnataka,True,ka50,inperson_sale,maruti,swift,in_stock,1,586598,588098.0,great,2021-02-16T06:39:51.062,True,13284,85785,True,False
hyundai elite i20,2016,petrol,20767,555599,mumbai,2717,hatchback,manual,sportz 1.2,True,mumbai,maharashtra,True,mh04,inperson_sale,hyundai,elite i20,in_stock,1,564971,558599.0,great,2021-02-26T13:47:15.758,True,12905,83340,True,False
maruti swift,2015,diesel,76042,437999,new delhi,353,hatchback,manual,vdi abs,True,delhi,delhi,True,dl12,inperson_sale,maruti,swift,in_stock,1,434027,440527.0,great,2021-04-07T10:38:00.716,True,10174,65700,False,False
hyundai i20 active,2016,petrol,55154,567599,mumbai,315,hatchback,manual,1.2 sx,False,mumbai,maharashtra,True,mh46,inperson_sale,hyundai,i20 active,in_stock,1,534946,,great,2021-04-14T10:46:05.838,True,13184,85140,False,False
maruti swift dzire,2016,petrol,54503,518699,pune,1911,sedan,manual,vxi 1.2 bs iv,True,pune,maharashtra,True,mh12,inperson_sale,maruti,swift dzire,in_stock,1,536646,538146.0,great,2021-03-04T15:35:36.63,True,12048,77805,False,False
maruti alto k10,2012,petrol,43367,288599,bengaluru,309,hatchback,manual,vxi,True,bangalore south,karnataka,True,ka05,inperson_sale,maruti,alto k10,in_stock,2,269534,,great,2021-03-31T10:05:32.015,True,6703,43290,False,False
maruti baleno,2017,diesel,29886,567299,lucknow,8629,hatchback,manual,alpha ddis 190,True,new delhi,delhi,True,dl7c,inperson_sale,maruti,baleno,in_stock,1,598463,591199.0,great,2021-02-26T08:04:26.332,True,13177,85095,False,False
renault kwid,2016,petrol,86031,256699,pune,1963,hatchback,manual,rxl,True,pune,maharashtra,True,mh14,inperson_sale,renault,kwid,in_stock,1,241112,,great,2021-03-02T06:57:53.774,True,5962,38505,False,False
maruti swift,2015,diesel,72533,440799,new delhi,385,hatchback,manual,vdi abs,True,delhi,delhi,True,dl2c,inperson_sale,maruti,swift,in_stock,2,430000,,great,2021-04-11T11:49:23.97,True,10239,66120,False,False
maruti swift dzire,2013,diesel,55995,387899,new delhi,829,sedan,manual,zdi,True,delhi,delhi,True,dl8c,inperson_sale,maruti,swift dzire,in_stock,1,366952,,great,2021-03-24T10:34:19.403,True,9010,58185,False,False
toyota fortuner,2012,diesel,116838,1100000,lucknow,327,luxury suv,manual,3.0 mt 4x2,True,pratapgarh,uttar pradesh,False,up72,online,toyota,fortuner,,2,765000,,good,2019-09-06T04:20:28.916,False,25550,165000,False,True
hyundai grand i10,2013,petrol,54173,324599,mumbai,982,hatchback,manual,magna 1.2 vtvt,True,pune,maharashtra,True,mh03,inperson_sale,hyundai,grand i10,in_stock,2,310000,,great,2021-03-07T09:14:05.854,True,7540,48690,False,False
hyundai i10,2010,petrol,68453,174499,noida,1693,hatchback,manual,era 1.1 irde,True,delhi,delhi,True,dl3c,inperson_sale,hyundai,i10,in_stock,1,150000,203120.0,great,2021-02-27T13:10:32.227,True,4053,26175,True,False
hyundai i10,2010,petrol,39429,313099,hyderabad,449,hatchback,manual,sportz 1.2 kappa2,True,hyderabad,telangana,True,ap28,inperson_sale,hyundai,i10,in_stock,1,285000,,good,2021-04-06T05:14:58.427,True,7273,46965,False,False
maruti ritz,2011,diesel,143702,219399,mumbai,844,hatchback,manual,ldi,True,navi mumbai,maharashtra,True,mh43,inperson_sale,maruti,ritz,in_stock,2,201289,,great,2021-03-07T08:22:35.814,True,5096,32910,False,False
maruti alto,2007,petrol,94734,92499,ghaziabad,12959,hatchback,manual,lxi,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,maruti,alto,in_stock,2,87267,126225.0,great,2020-12-31T05:31:36.58,True,2149,13875,True,False
volkswagen polo,2012,petrol,140417,331299,pune,592,hatchback,manual,comfortline 1.2l petrol,True,pune,maharashtra,True,mh12,inperson_sale,volkswagen,polo,in_stock,1,299024,,great,2021-04-05T03:53:33.552,True,7695,49695,False,False
ford ecosport,2014,diesel,73708,472500,ahmedabad,205,suv,manual,1.5 trend tdci,False,ahmedabad,gujarat,False,gj03,,ford,ecosport,,1,365000,,great,2019-02-22T10:45:09.566,True,10975,70875,False,False
maruti alto,2009,petrol,31579,168999,new delhi,1248,hatchback,manual,lxi,True,delhi,delhi,True,dl9c,inperson_sale,maruti,alto,in_stock,1,147443,,good,2021-03-17T06:45:00.295,True,3925,25350,False,False
maruti vitara brezza,2018,diesel,57619,678799,new delhi,1853,suv,manual,vdi,True,new delhi,delhi,True,dl1c,inperson_sale,maruti,vitara brezza,in_stock,1,705067,870847.0,great,2020-11-17T08:45:06.45,True,15767,101820,False,False
volkswagen polo,2012,diesel,95549,266099,mumbai,1243,hatchback,manual,comfortline 1.2l diesel,True,mumbai west,maharashtra,True,mh02,inperson_sale,volkswagen,polo,in_stock,2,247680,,great,2021-03-09T20:01:47.602,True,6181,39915,True,False
hyundai grand i10,2016,petrol,23257,477799,hyderabad,2632,hatchback,manual,sportz 1.2 kappa vtvt,False,east godavari,andhra pradesh,True,ap05,inperson_sale,hyundai,grand i10,in_stock,1,482527,582252.0,great,2021-03-13T07:14:41.867,True,11098,71670,False,False
maruti swift,2012,diesel,76353,314899,new delhi,360,hatchback,manual,vdi,True,delhi,delhi,True,dl3c,inperson_sale,maruti,swift,in_stock,1,298515,,great,2021-03-03T12:32:19.655,True,7314,47235,False,False
maruti wagon r 1.0,2010,petrol & cng,99103,202599,gurgaon,1169,hatchback,manual,lxi cng,True,gurgaon,haryana,True,hr26,inperson_sale,maruti,wagon r 1.0,in_stock,2,183731,,great,2021-02-22T11:07:55.642,True,4706,30390,True,False
maruti celerio,2019,petrol,10412,476499,bengaluru,1395,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka02,inperson_sale,maruti,celerio,in_stock,1,478000,479500.0,great,2021-02-09T10:24:24.528,True,11068,71475,True,False
maruti ritz,2014,petrol,52410,432999,bengaluru,491,hatchback,manual,vxi bs iv,True,bangalore south,karnataka,True,ka05,inperson_sale,maruti,ritz,in_stock,1,439000,531330.0,great,2020-12-25T12:28:19.222,True,10057,64950,False,False
tata nano,2017,petrol,3476,183299,pune,5550,hatchback,automatic,twist xta,True,sindhudurg,maharashtra,True,mh09,inperson_sale,tata,nano,in_stock,2,165485,,great,2021-03-17T05:56:23.491,True,4258,27495,False,False
